work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,Entry,Full-Time,Data Analyst,50000.0,US,Remote,US,Medium
2021,Entry,Full-Time,Applied Data Scientist,110037.0,GB,On-site,GB,Large
2021,Entry,Part-Time,Data Analyst,10354.0,ES,Hybrid,ES,Medium
2021,Mid,Full-Time,Principal Data Scientist,151000.0,US,Remote,US,Large
2021,Senior,Full-Time,Machine Learning Scientist,120000.0,US,Hybrid,US,Small
2021,Mid,Full-Time,Data Scientist,9466.0,IN,On-site,IN,Small
2021,Entry,Full-Time,Machine Learning Engineer,20000.0,IN,Remote,IN,Small
2021,Senior,Full-Time,Lead Data Scientist,40570.0,IN,Hybrid,IN,Large
2021,Entry,Full-Time,Machine Learning Developer,100000.0,IQ,Hybrid,IQ,Small
2021,Entry,Full-Time,Data Scientist,49646.0,FR,Hybrid,FR,Medium
2021,Mid,Full-Time,Applied Machine Learning Scientist,38400.0,VN,Remote,US,Medium
2021,Senior,Full-Time,Computer Vision Engineer,24000.0,BR,Remote,BR,Medium
2021,Entry,Full-Time,Data Scientist,100000.0,US,On-site,US,Small
2021,Mid,Full-Time,Data Analyst,90000.0,US,Remote,US,Medium
2021,Mid,Full-Time,ML Engineer,63711.0,JP,Hybrid,JP,Small
2021,Mid,Full-Time,ML Engineer,77364.0,JP,Hybrid,JP,Small
2021,Senior,Full-Time,Principal Data Scientist,220000.0,US,On-site,US,Large
2021,Entry,Full-Time,Data Scientist,80000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Data Analyst,135000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Science Manager,240000.0,US,On-site,US,Large
2021,Senior,Full-Time,Data Engineering Manager,150000.0,US,On-site,US,Large
2021,Mid,Full-Time,Data Scientist,82500.0,US,Remote,US,Small
2021,Mid,Full-Time,Data Engineer,100000.0,US,Remote,US,Large
2021,Senior,Full-Time,Machine Learning Engineer,82744.0,BE,Hybrid,BE,Medium
2021,Mid,Full-Time,Research Scientist,62649.0,FR,Hybrid,FR,Medium
2021,Mid,Full-Time,Data Engineer,90000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Engineering Manager,153000.0,US,Remote,US,Large
2021,Senior,Full-Time,Cloud Data Engineer,160000.0,BR,Remote,US,Small
2021,Senior,Full-Time,Director of Data Science,168000.0,JP,On-site,JP,Small
2021,Mid,Full-Time,Data Scientist,150000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Data Scientist,75774.0,CA,Remote,CA,Large
2021,Entry,Full-Time,Data Scientist,13400.0,UA,Remote,UA,Large
2021,Senior,Full-Time,Data Science Manager,144000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Science Engineer,127221.0,CA,Hybrid,CA,Large
2021,Mid,Full-Time,Data Scientist,119059.0,SG,Remote,IL,Medium
2021,Mid,Full-Time,Applied Machine Learning Scientist,319030.375,US,Hybrid,US,Large
2021,Senior,Full-Time,Data Analytics Manager,120000.0,US,Remote,US,Medium
2021,Entry,Full-Time,Machine Learning Engineer,125000.0,US,Remote,US,Small
2021,Executive,Full-Time,Head of Data,230000.0,RU,Hybrid,RU,Large
2021,Executive,Full-Time,Head of Data Science,85000.0,RU,On-site,RU,Medium
2021,Mid,Full-Time,Data Engineer,28369.0,MT,Hybrid,MT,Large
2021,Entry,Full-Time,Data Science Consultant,63831.0,DE,Hybrid,DE,Large
2021,Executive,Full-Time,Director of Data Science,130026.0,DE,Hybrid,DE,Medium
2021,Senior,Full-Time,Data Specialist,165000.0,US,Remote,US,Large
2021,Entry,Full-Time,Data Engineer,80000.0,US,Remote,US,Large
2021,Executive,Full-Time,Director of Data Science,250000.0,US,On-site,US,Large
2021,Entry,Full-Time,BI Data Analyst,55000.0,US,Hybrid,US,Small
2021,Mid,Full-Time,Data Architect,150000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Architect,170000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Engineer,82528.0,GB,Remote,GB,Large
2021,Entry,Full-Time,Data Analyst,60000.0,US,Remote,US,Small
2021,Senior,Full-Time,Principal Data Scientist,235000.0,US,Remote,US,Large
2021,Senior,Full-Time,Research Scientist,60757.0,PT,Hybrid,PT,Large
2021,Senior,Full-Time,Data Engineering Manager,174000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Scientist,2859.0,MX,On-site,MX,Small
2021,Mid,Full-Time,Data Scientist,40038.0,CL,Remote,CL,Large
2021,Entry,Full-Time,Machine Learning Engineer,81000.0,US,Hybrid,US,Small
2021,Mid,Full-Time,Data Scientist,5679.0,IN,Remote,US,Small
2021,Mid,Full-Time,Big Data Engineer,22611.0,IN,On-site,IN,Large
2021,Mid,Full-Time,Data Scientist,90734.0,DE,Hybrid,DE,Large
2021,Mid,Full-Time,Data Engineer,26005.0,RO,On-site,US,Large
2021,Senior,Full-Time,Finance Data Analyst,61896.0,GB,Hybrid,GB,Large
2021,Mid,Freelance,Machine Learning Scientist,12000.0,PK,Hybrid,PK,Medium
2021,Mid,Full-Time,Data Engineer,4000.0,IR,Remote,IR,Medium
2021,Senior,Full-Time,Data Analytics Engineer,50000.0,VN,Remote,GB,Medium
2021,Executive,Full-Time,Data Science Consultant,69741.0,FR,Remote,ES,Small
2021,Senior,Full-Time,Data Engineer,76833.0,RO,Hybrid,GB,Small
2021,Mid,Full-Time,Machine Learning Engineer,74000.0,JP,Hybrid,JP,Small
2021,Senior,Full-Time,Data Science Manager,152000.0,US,Remote,FR,Large
2021,Entry,Full-Time,Machine Learning Engineer,21844.0,CO,Hybrid,CO,Medium
2021,Mid,Full-Time,Big Data Engineer,18000.0,MD,On-site,MD,Small
2021,Senior,Full-Time,Data Science Manager,174000.0,US,Remote,US,Large
2021,Senior,Full-Time,Research Scientist,96113.0,CA,Hybrid,CA,Large
2021,Mid,Full-Time,Data Scientist,147000.0,US,Hybrid,US,Large
2021,Entry,Full-Time,BI Data Analyst,9272.0,KE,Remote,KE,Small
2021,Senior,Full-Time,Machine Learning Engineer,24342.0,IN,Remote,IN,Large
2021,Senior,Full-Time,Data Science Manager,54094.0,IN,Hybrid,US,Large
2021,Entry,Full-Time,Data Science Consultant,90000.0,US,Remote,US,Small
2021,Mid,Full-Time,Data Scientist,61467.0,DE,Hybrid,AT,Medium
2021,Senior,Full-Time,Machine Learning Infrastructure Engineer,195000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Data Scientist,37825.0,ES,Remote,ES,Large
2021,Senior,Full-Time,Research Scientist,50000.0,FR,Remote,US,Small
2021,Mid,Full-Time,Data Scientist,160000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Scientist,12901.0,BR,On-site,BR,Small
2021,Senior,Full-Time,Machine Learning Engineer,200000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Engineer,165000.0,US,On-site,US,Medium
2021,Mid,Freelance,Data Engineer,20000.0,IT,On-site,US,Large
2021,Senior,Full-Time,Data Analytics Manager,120000.0,US,On-site,US,Large
2021,Mid,Full-Time,Machine Learning Engineer,24823.0,SI,Hybrid,SI,Large
2021,Mid,Full-Time,Research Scientist,56738.0,FR,Hybrid,FR,Small
2021,Mid,Full-Time,Data Engineer,66022.0,HK,Hybrid,GB,Small
2021,Entry,Full-Time,Big Data Engineer,5882.0,IN,On-site,CH,Large
2021,Entry,Full-Time,Machine Learning Engineer,24823.0,DE,Hybrid,DE,Medium
2021,Senior,Full-Time,Principal Data Engineer,185000.0,US,Remote,US,Large
2021,Entry,Part-Time,Computer Vision Engineer,28609.0,DK,Hybrid,DK,Small
2021,Mid,Full-Time,Machine Learning Engineer,88654.0,BE,Remote,BE,Medium
2021,Senior,Full-Time,Data Analytics Manager,140000.0,US,Remote,US,Large
2021,Mid,Full-Time,Machine Learning Engineer,46597.0,PL,Remote,PL,Large
2021,Mid,Full-Time,Data Scientist,116914.0,GB,Hybrid,GB,Large
2021,Mid,Full-Time,Data Scientist,33808.0,IN,On-site,IN,Medium
2021,Mid,Full-Time,Data Scientist,56256.0,GB,Hybrid,GB,Large
2021,Senior,Full-Time,Machine Learning Scientist,225000.0,US,Remote,CA,Large
2021,Executive,Contract,Principal Data Scientist,319030.375,US,Remote,US,Small
2021,Senior,Full-Time,Data Scientist,87738.0,CA,Remote,CA,Small
2021,Mid,Full-Time,Data Scientist,88654.0,DE,Hybrid,DE,Large
2021,Senior,Full-Time,Data Scientist,135000.0,US,On-site,US,Large
2021,Senior,Full-Time,Data Analyst,71786.0,CA,Remote,CA,Medium
2021,Entry,Full-Time,Big Data Engineer,16228.0,IN,Remote,IN,Large
2021,Senior,Full-Time,ML Engineer,256000.0,US,Remote,US,Small
2021,Senior,Full-Time,Director of Data Engineering,200000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Analyst,200000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Architect,180000.0,US,Remote,US,Large
2021,Mid,Full-Time,Head of Data Science,110000.0,US,On-site,US,Small
2021,Mid,Full-Time,Research Scientist,63810.0,CA,Remote,CA,Medium
2021,Mid,Full-Time,Data Scientist,46809.0,ES,Remote,ES,Medium
2021,Entry,Full-Time,Data Scientist,4000.0,VN,On-site,VN,Medium
2021,Entry,Full-Time,Data Engineer,21637.0,IN,Hybrid,IN,Medium
2021,Senior,Full-Time,Data Scientist,103691.0,CA,Remote,CA,Large
2021,Mid,Full-Time,Data Analyst,80000.0,US,Remote,US,Large
2021,Mid,Full-Time,Data Engineer,110000.0,US,Remote,US,Large
2021,Senior,Full-Time,Data Scientist,165000.0,US,Remote,US,Large
2021,Entry,Full-Time,AI Scientist,18053.0,IN,Remote,AS,Small
2021,Mid,Full-Time,Data Engineer,72212.0,GB,Hybrid,GB,Large
2021,Entry,Full-Time,Data Scientist,36643.0,FR,Hybrid,FR,Large
2021,Mid,Full-Time,Data Engineer,12103.0,TR,On-site,TR,Medium
2021,Senior,Full-Time,Data Engineer,96282.0,GB,Hybrid,GB,Large
2021,Senior,Full-Time,Principal Data Analyst,170000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Data Scientist,115000.0,US,Hybrid,US,Large
2021,Entry,Full-Time,Data Scientist,90000.0,US,Remote,US,Small
2021,Executive,Full-Time,Principal Data Engineer,319030.375,US,Remote,US,Large
2021,Entry,Full-Time,Data Scientist,28399.0,IN,Remote,IN,Medium
2021,Mid,Full-Time,Data Analyst,93000.0,US,Remote,US,Large
2021,Senior,Full-Time,Big Data Architect,99703.0,CA,Hybrid,CA,Medium
2021,Senior,Full-Time,Principal Data Scientist,173762.0,DE,Remote,DE,Medium
2021,Senior,Full-Time,Machine Learning Engineer,185000.0,US,Hybrid,US,Large
2021,Executive,Full-Time,Director of Data Science,141846.0,DE,On-site,DE,Large
2021,Mid,Full-Time,Data Scientist,130000.0,US,Hybrid,US,Large
2021,Senior,Full-Time,Data Analyst,63831.0,DE,Hybrid,DE,Large
2021,Mid,Full-Time,Data Scientist,16904.0,IN,Remote,IN,Small
2021,Senior,Full-Time,Machine Learning Engineer,66265.0,IN,On-site,IN,Large
2021,Mid,Full-Time,Data Scientist,25532.0,RS,Remote,DE,Small
2021,Senior,Full-Time,Lead Data Engineer,160000.0,PR,Hybrid,US,Small
2021,Mid,Full-Time,Data Engineer,93150.0,US,On-site,US,Medium
2021,Mid,Full-Time,Data Engineer,111775.0,US,On-site,US,Medium
2021,Mid,Full-Time,Data Engineer,28016.0,TR,Remote,TR,Medium
2021,Entry,Full-Time,Data Engineer,65013.0,DE,Hybrid,DE,Medium
2021,Entry,Full-Time,Data Engineer,72500.0,US,Remote,US,Large
2021,Senior,Full-Time,Computer Vision Engineer,18907.0,BR,On-site,BR,Medium
2021,Entry,Full-Time,Data Science Consultant,76833.0,DE,On-site,DE,Large
2021,Entry,Full-Time,Machine Learning Engineer,85000.0,NL,Remote,DE,Small
2021,Senior,Full-Time,Data Scientist,77684.0,FR,Hybrid,FR,Medium
2021,Entry,Full-Time,Data Scientist,100000.0,US,Remote,US,Medium
2021,Entry,Full-Time,Data Scientist,58000.0,US,Hybrid,US,Large
2021,Senior,Full-Time,AI Scientist,55000.0,ES,Remote,ES,Large
2021,Senior,Full-Time,Data Scientist,20171.0,TR,Hybrid,TR,Large
2021,Entry,Full-Time,Business Data Analyst,59102.0,LU,Remote,LU,Large
2021,Mid,Full-Time,Data Engineer,112000.0,US,Remote,US,Large
2021,Entry,Full-Time,Research Scientist,100000.0,JE,On-site,CN,Large
2021,Mid,Part-Time,Data Engineer,69741.0,NL,Remote,NL,Large
2021,Senior,Contract,Staff Data Scientist,105000.0,US,Remote,US,Medium
2021,Mid,Full-Time,Research Scientist,69999.0,CZ,Hybrid,CZ,Large
2021,Senior,Full-Time,Data Science Manager,94665.0,IN,Hybrid,IN,Large
2021,Senior,Full-Time,Head of Data,102839.0,SI,Remote,SI,Large
2021,Mid,Full-Time,Data Scientist,109000.0,US,Hybrid,US,Large
2021,Mid,Full-Time,Machine Learning Engineer,51064.0,IT,Hybrid,IT,Large
2022,Senior,Full-Time,Data Engineer,135000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,155000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,120600.0,US,Remote,US,Medium
2022,Mid,Full-Time,Data Scientist,130000.0,US,On-site,US,Medium
2022,Mid,Full-Time,Data Scientist,90000.0,US,On-site,US,Medium
2022,Mid,Full-Time,Data Engineer,170000.0,US,Remote,US,Medium
2022,Mid,Full-Time,Data Engineer,150000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,102100.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,84900.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Scientist,136620.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Scientist,99360.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Scientist,117789.0,GB,On-site,GB,Medium
2022,Senior,Full-Time,Data Scientist,104702.0,GB,On-site,GB,Medium
2022,Senior,Full-Time,Data Scientist,146000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Scientist,123000.0,US,Remote,US,Medium
2022,Entry,Full-Time,Data Engineer,52351.0,GB,Remote,GB,Medium
2022,Senior,Full-Time,Data Analyst,99000.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Analyst,116000.0,US,On-site,US,Medium
2022,Mid,Full-Time,Data Analyst,106260.0,US,On-site,US,Medium
2022,Mid,Full-Time,Data Analyst,126500.0,US,On-site,US,Medium
2022,Executive,Full-Time,Data Engineer,242000.0,US,Remote,US,Medium
2022,Executive,Full-Time,Data Engineer,200000.0,US,Remote,US,Medium
2022,Mid,Full-Time,Data Scientist,65438.0,GB,On-site,GB,Medium
2022,Mid,Full-Time,Data Scientist,39263.0,GB,On-site,GB,Medium
2022,Mid,Full-Time,Data Engineer,78526.0,GB,On-site,GB,Medium
2022,Mid,Full-Time,Data Engineer,52351.0,GB,On-site,GB,Medium
2022,Senior,Full-Time,Data Scientist,165220.0,US,Remote,US,Medium
2022,Entry,Full-Time,Data Engineer,45807.0,GB,Remote,GB,Medium
2022,Senior,Full-Time,Data Scientist,120160.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,90320.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,181940.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Engineer,132320.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Engineer,220110.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Engineer,160080.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Scientist,180000.0,US,On-site,US,Large
2022,Senior,Full-Time,Data Scientist,120000.0,US,On-site,US,Large
2022,Senior,Full-Time,Data Analyst,124190.0,US,Remote,US,Medium
2022,Executive,Full-Time,Data Analyst,130000.0,US,Remote,US,Medium
2022,Executive,Full-Time,Data Analyst,110000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,170000.0,US,Remote,US,Medium
2022,Mid,Full-Time,Data Analyst,115500.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,112900.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,165400.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,132320.0,US,Remote,US,Medium
2022,Mid,Full-Time,Data Analyst,167000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,243900.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,136600.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Analyst,109280.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,128875.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,93700.0,US,Remote,US,Medium
2022,Executive,Full-Time,Head of Data Science,224000.0,US,Remote,US,Medium
2022,Executive,Full-Time,Head of Data Science,167875.0,US,Remote,US,Medium
2022,Executive,Full-Time,Analytics Engineer,175000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,156600.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,108800.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Scientist,95550.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Engineer,113000.0,US,On-site,US,Large
2022,Senior,Full-Time,Data Analyst,135000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Science Manager,161342.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Science Manager,137141.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Scientist,167000.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Engineer,78526.0,GB,On-site,GB,Medium
2022,Senior,Full-Time,Data Engineer,65438.0,GB,On-site,GB,Medium
2022,Senior,Full-Time,Data Scientist,150000.0,US,On-site,US,Medium
2022,Senior,Full-Time,Data Scientist,211500.0,US,Remote,US,Medium
2022,Senior,Full-Time,Data Architect,192400.0,CA,Remote,CA,Medium
2022,Senior,Full-Time,Data Architect,90700.0,CA,Remote,CA,Medium
2022,Senior,Full-Time,Data Analyst,130000.0,CA,Remote,CA,Medium
2022,Senior,Full-Time,Data Analyst,61300.0,CA,Remote,CA,Medium
2022,Senior,Full-Time,Data Engineer,160000.0,US,On-site,US,Large
